City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Los Llanos De Aridane,ES,64.15,overcast clouds,28.6585,-17.9182,Valle Aridane
215,Chicama,PE,64.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
217,Kachiry,KZ,57.72,clear sky,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
225,Yabelo,ET,62.78,broken clouds,4.8833,38.0833,Asnakech W/michael
226,Santa Lucia,ES,60.12,broken clouds,27.9117,-15.5407,Las Tirajanas
227,Lakes Entrance,AU,56.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
228,Narsaq,GL,53.82,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
231,Mwense,ZM,64.38,overcast clouds,-10.3845,28.698,Mwense Council Guest House
234,Krasnoye,UA,56.55,scattered clouds,49.9145,24.6134,Feniks
237,Faya,SA,68.52,clear sky,18.3851,42.4509,مقبرة ال مجمل
241,Huarmey,PE,66.34,overcast clouds,-10.0681,-78.1522,Hotel Miramar
244,Prince Rupert,CA,51.89,light rain,54.3161,-130.3201,Crest Hotel
248,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
254,Genhe,CN,64.13,clear sky,50.7833,121.5167,Companionship Hotel
255,Byron Bay,AU,67.05,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
257,Dniprovka,UA,59.14,broken clouds,47.4295,34.618,База отдыха Перлына
262,Cascais,PT,62.26,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
263,Farsund,NO,56.95,broken clouds,58.0948,6.8047,Farsund Fjordhotel
268,Constitucion,CL,51.93,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
271,Ulladulla,AU,59.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
274,Punta Alta,AR,51.93,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
276,Warkworth,NZ,60.49,moderate rain,-36.4,174.6667,Bridge House Lodge Bar & Restaurant
277,Tynda,RU,69.51,scattered clouds,55.1667,124.7167,Medis
278,Umea,SE,53.91,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
280,Bad Goisern,AT,61.65,overcast clouds,47.6425,13.6161,Wohlfühlhotel Goiserer Mühle
283,Saint Stephen,GB,56.03,broken clouds,50.3333,-4.9,4 stepaside corner
287,Sidi Ali,DZ,67.46,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
289,Liverpool,GB,60.13,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
290,Barcelona,ES,68.97,few clouds,41.3888,2.159,Axel Hotel Barcelona
292,Floro,NO,53.56,clear sky,61.5996,5.0328,Kinn Hotell Florø
294,Wuwei,CN,61.9,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
295,Naze,JP,69.19,light rain,28.3667,129.4833,奄美ポートタワーホテル
297,Maneadero,MX,68.18,few clouds,31.7167,-116.5667,Casa De Thompson
298,Watsa,CD,61.2,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
299,Yarim,YE,61.52,clear sky,14.298,44.3779,وليد المسوري ابو اسد
302,Kokkola,FI,52.03,clear sky,63.8385,23.1307,Hotel Kokkola
304,Haapsalu,EE,55.02,few clouds,58.9431,23.5414,Fra Mare Thalasso Spa
305,Camacha,PT,63.36,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
307,Keuruu,FI,60.98,broken clouds,62.2667,24.7,Hostelli Nonna
308,Novoseleznevo,RU,53.49,clear sky,55.6821,69.2056,Uyutnaya
309,Batemans Bay,AU,55.9,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
312,Hokitika,NZ,53.74,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
314,Christchurch,NZ,51.03,light rain,-43.5333,172.6333,YMCA Christchurch
316,Sept-Iles,CA,51.82,broken clouds,50.2001,-66.3821,Comfort Inn
317,Goderich,CA,67.75,scattered clouds,43.7501,-81.7165,Harmony Inn
318,Toktogul,KG,60.73,light rain,41.8708,72.9402,KAGAN
320,Nouadhibou,MR,66.63,overcast clouds,20.931,-17.0347,El Medina
322,Valleyview,CA,61.93,broken clouds,55.0667,-117.2859,Paradise Inn & Suites
326,Biga,TR,66.06,broken clouds,40.2281,27.2422,Köşdere Otel
330,Talara,PE,67.95,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
332,Mackay,AU,67.05,overcast clouds,-21.15,149.2,International Lodge Motel
335,Fairbanks,US,68.34,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
336,San Vicente,AR,58.26,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
345,Sitka,US,53.49,light rain,57.0531,-135.33,Westmark Sitka
346,Atbasar,KZ,55.51,overcast clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
347,Nyurba,RU,50.67,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
348,Novocheboksarsk,RU,63.16,clear sky,56.111,47.4776,"Salampi, sanatorium"
356,Maldonado,UY,50.23,few clouds,-34.6667,-54.9167,La Cimarrona
365,Itaqui,BR,61.34,overcast clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
366,Walla Walla,US,66.9,broken clouds,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
367,Amot,NO,50.5,overcast clouds,59.5714,7.9877,Groven Camping og Hyttegrend AS
369,Bereda,ES,55.92,broken clouds,43.2686,-7.5406,Pazo de Verdes
373,Nowy Sacz,PL,58.82,broken clouds,49.6218,20.6971,Hotel Panorama
376,Santiago Del Estero,AR,57.76,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
383,Batagay,RU,54.03,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
387,Kichmengskiy Gorodok,RU,61.86,broken clouds,59.9816,45.7854,Gostinitsa
390,Juneau,US,54.84,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
392,Portland,US,65.62,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
