City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ulaangom,MN,49.9811,92.0667,48.51,63,33,2.8,scattered clouds
80,Baghdad,IQ,33.3406,44.4009,78.71,27,0,15.1,clear sky
81,Sinegorskiy,RU,48.0139,40.8447,60.3,93,83,7.67,broken clouds
82,Palmer,US,42.1584,-72.3287,87.35,49,52,4.09,broken clouds
83,Semirom,IR,31.4167,51.5667,63.32,22,0,2.48,clear sky
84,Medvezhyegorsk,RU,62.9167,34.4667,49.12,53,67,9.04,broken clouds
85,Boden,SE,65.8252,21.6886,53.6,59,57,4.23,broken clouds
86,West Wendover,US,40.7391,-114.0733,83.86,14,76,7.83,broken clouds
87,Santa Rita,BR,-7.1139,-34.9781,75.87,94,90,1.14,overcast clouds
88,Aliwal North,ZA,-30.6937,26.7114,42.3,56,0,4.38,clear sky
89,Saint-Louis,SN,16.3333,-15.0,94.71,16,1,11.25,clear sky
90,Dunedin,NZ,-45.8742,170.5036,53.8,71,97,5.99,overcast clouds
91,Avera,US,33.194,-82.5271,84.25,96,100,3.18,overcast clouds
92,Liaocheng,CN,36.4439,115.9647,84.15,37,97,9.82,light rain
93,Klyuchi,RU,52.2667,79.1667,58.08,52,0,2.33,clear sky
94,Aneho,TG,6.2333,1.6,80.62,80,22,11.92,few clouds
95,Lincoln,US,40.8,-96.667,85.39,58,1,5.99,clear sky
96,Saint-Francois,FR,46.4154,3.9054,61.18,93,90,3.44,overcast clouds
97,Highview,US,38.1428,-85.6241,76.98,82,40,3.0,scattered clouds
98,Sumkino,RU,58.1108,68.3244,55.58,77,85,5.35,overcast clouds
99,Arnedo,ES,42.2167,-2.1,58.42,68,9,7.36,clear sky
100,Dingle,PH,10.9995,122.6711,78.48,82,100,2.04,light rain
101,Ostrovnoy,RU,68.0531,39.5131,37.96,93,7,6.53,clear sky
102,Karpathos,GR,35.507,27.2132,68.65,69,3,10.8,clear sky
103,Puerto Plata,DO,19.7934,-70.6884,82.45,74,20,11.07,few clouds
104,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,11.81,clear sky
105,Thinadhoo,MV,0.5333,72.9333,82.62,74,13,11.72,few clouds
106,Maarianhamina,AX,60.0973,19.9348,51.66,87,0,1.14,clear sky
107,Mbuji-Mayi,CD,-6.15,23.6,75.4,60,89,0.96,overcast clouds
108,Ribeira Grande,PT,38.5167,-28.7,65.16,87,100,7.65,overcast clouds
109,Arraial Do Cabo,BR,-22.9661,-42.0278,74.01,86,100,20.47,overcast clouds
110,Murmashi,RU,68.8154,32.8115,30.61,93,0,2.24,clear sky
111,Port Alfred,ZA,-33.5906,26.891,64.06,35,0,8.34,clear sky
112,Tuktoyaktuk,CA,69.4541,-133.0374,36.91,74,14,11.77,few clouds
113,Severo-Yeniseyskiy,RU,60.3725,93.0408,39.87,96,100,2.93,light rain
114,Paranaiba,BR,-19.6772,-51.1908,75.67,37,14,5.84,few clouds
115,Spring Valley,US,36.108,-115.245,104.88,10,1,1.99,clear sky
