City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hilo,US,2021-06-06 00:37:50,19.7297,-155.09,83.28,68,75,12.66
68,Svetlaya,RU,2021-06-06 00:37:51,46.5389,138.3297,53.01,77,86,12.68
69,Kruisfontein,ZA,2021-06-06 00:37:51,-34.0033,24.7314,51.84,33,0,7.9
70,Lahaina,US,2021-06-06 00:36:46,20.8783,-156.6825,87.8,77,17,13.15
71,Matara,LK,2021-06-06 00:37:51,5.9485,80.5353,77.92,89,93,7.61
72,Le Port,RE,2021-06-06 00:37:52,-20.9373,55.2919,73.36,97,12,3.51
73,Sabzevar,IR,2021-06-06 00:37:52,36.2126,57.6819,81.41,29,0,4.21
74,Pueblo Nuevo,MX,2021-06-06 00:37:52,23.3833,-105.3833,64.26,72,32,2.35
75,Avarua,CK,2021-06-06 00:37:53,-21.2078,-159.775,77.05,69,40,9.22
76,Provideniya,RU,2021-06-06 00:37:53,64.3833,-173.3,41.77,63,26,3.38
77,Port Hardy,CA,2021-06-06 00:37:53,50.6996,-127.4199,53.78,66,75,16.11
78,Parkes,AU,2021-06-06 00:37:54,-33.1333,148.1833,52.7,49,0,6.2
79,Fairbanks,US,2021-06-06 00:35:12,64.8378,-147.7164,73.0,24,20,6.91
80,Caravelas,BR,2021-06-06 00:37:54,-17.7125,-39.2481,72.93,90,1,6.35
81,Comodoro Rivadavia,AR,2021-06-06 00:37:54,-45.8667,-67.5,42.66,65,0,9.22
82,Kaeo,NZ,2021-06-06 00:37:55,-35.1,173.7833,63.32,90,100,14.94
83,Lorengau,PG,2021-06-06 00:37:55,-2.0226,147.2712,78.73,89,100,9.84
84,General Cepeda,MX,2021-06-06 00:37:55,25.3833,-101.45,74.61,26,46,8.84
85,Camacha,PT,2021-06-06 00:37:56,33.0833,-16.3333,63.36,77,75,12.66
86,Barra Do Garcas,BR,2021-06-06 00:33:09,-15.89,-52.2567,71.6,49,93,0.56
87,Asyut,EG,2021-06-06 00:37:00,27.181,31.1837,73.58,51,3,14.79
88,Muroto,JP,2021-06-06 00:37:56,33.2833,134.15,69.8,78,75,2.3
89,Ascension,US,2021-06-06 00:37:57,30.2169,-90.9001,78.01,89,90,5.37
90,Biak,ID,2021-06-06 00:37:57,-0.9131,122.8766,81.64,71,32,7.94
91,Mecca,SA,2021-06-06 00:37:57,21.4267,39.8261,82.31,65,0,3.04
92,Fortuna,US,2021-06-06 00:33:07,40.5982,-124.1573,69.19,66,1,11.99
93,Pangody,RU,2021-06-06 00:37:58,65.85,74.4859,42.17,62,94,7.07
94,Agapovka,RU,2021-06-06 00:33:12,53.2973,59.1348,49.21,51,35,0.65
95,Kodiak,US,2021-06-06 00:37:58,57.79,-152.4072,64.4,34,1,19.57
96,Ahuimanu,US,2021-06-06 00:37:58,21.4447,-157.8378,86.0,61,20,16.11
97,New Amsterdam,GY,2021-06-06 00:37:59,6.25,-57.5167,74.75,96,19,5.06
98,San Francisco,US,2021-06-06 00:37:43,37.7749,-122.4194,91.13,71,75,8.99
99,Port Hedland,AU,2021-06-06 00:37:59,-20.3167,118.5667,75.25,33,90,18.41
100,Upernavik,GL,2021-06-06 00:37:59,72.7868,-56.1549,35.49,86,98,2.71
101,Vanimo,PG,2021-06-06 00:38:00,-2.6741,141.3028,84.56,66,42,3.47
102,Santa Rosalia,MX,2021-06-06 00:38:00,27.3167,-112.2833,90.61,26,0,10.54
103,Marawi,PH,2021-06-06 00:38:00,7.9986,124.2928,77.94,71,100,1.74
104,Seoul,KR,2021-06-06 00:38:01,37.5683,126.9778,72.79,73,75,4.74
105,Maniwaki,CA,2021-06-06 00:38:01,46.3834,-75.966,68.0,88,85,4.61
106,Carnarvon,AU,2021-06-06 00:38:01,-24.8667,113.6333,59.07,82,69,6.91
107,Kaitangata,NZ,2021-06-06 00:38:02,-46.2817,169.8464,50.94,71,100,2.98
108,San Miguel,SV,2021-06-06 00:38:02,13.4833,-88.1833,89.2,62,0,6.91
109,Guerrero Negro,MX,2021-06-06 00:38:02,27.9769,-114.0611,67.87,66,100,16.51
110,Veliki Preslav,BG,2021-06-06 00:38:03,43.1667,26.8167,66.2,81,2,3.06
111,Ahtopol,BG,2021-06-06 00:38:03,42.1,27.95,57.67,68,0,6.17
112,Deputatskiy,RU,2021-06-06 00:38:03,69.3,139.9,36.72,67,74,15.23
113,Mataura,NZ,2021-06-06 00:38:04,-46.1927,168.8643,49.48,76,41,1.03
114,Colesberg,ZA,2021-06-06 00:38:04,-30.72,25.0972,41.83,22,0,4.59
115,Storsteinnes,NO,2021-06-06 00:38:04,69.2408,19.2344,41.38,75,13,2.62
116,Tshikapa,CD,2021-06-06 00:38:05,-6.4167,20.8,70.83,50,55,2.84
117,Hermanus,ZA,2021-06-06 00:38:05,-34.4187,19.2345,59.9,45,8,8.77
118,Lompoc,US,2021-06-06 00:38:05,34.6391,-120.4579,78.13,74,1,13.0
119,Necochea,AR,2021-06-06 00:38:05,-38.5473,-58.7368,47.66,82,0,10.83
120,Saint George,US,2021-06-06 00:36:04,37.1041,-113.5841,104.47,10,1,5.01
121,Ribeira Grande,PT,2021-06-06 00:38:06,38.5167,-28.7,64.58,86,100,7.99
122,Makakilo City,US,2021-06-06 00:38:06,21.3469,-158.0858,84.52,53,75,12.66
123,Saint Simons,US,2021-06-06 00:38:06,31.1352,-81.3901,80.64,86,20,8.05
124,Jamestown,US,2021-06-06 00:38:07,42.097,-79.2353,81.72,53,1,8.05
125,Goksun,TR,2021-06-06 00:38:07,38.021,36.4973,68.0,60,0,16.11
126,Pisco,PE,2021-06-06 00:38:07,-13.7,-76.2167,64.45,77,90,8.05
127,Saint-Philippe,RE,2021-06-06 00:38:08,-21.3585,55.7679,71.6,94,90,2.3
128,Mahebourg,MU,2021-06-06 00:38:08,-20.4081,57.7,70.09,88,40,6.91
